Id,Entity_1,Entity_2,Property
1,许远,唐朝,birthPlace
2,藤田芳正,日本,birthPlace
3,高桑大二朗,日本,birthPlace
4,顾众,东吴,birthPlace
5,横谷政树,日本,birthPlace
6,长泽和明,日本,birthPlace
7,孙雯,上海,birthPlace
8,让·蒂加纳,巴马科,birthPlace
9,泰迪·卢锡,瑞典,birthPlace
10,秋田丰,日本,birthPlace
11,植村晋,日本,birthPlace
12,酒井友之,日本,birthPlace
13,迪高,巴西,birthPlace
14,布赖恩·德帕尔马,新泽西州,birthPlace
15,相马直树,日本,birthPlace
16,布赖恩·约瑟夫森,卡地夫,birthPlace
17,夸梅·阿尤,加纳,birthPlace
18,古俣健次,新潟县,birthPlace
19,太田裕和,日本,birthPlace
20,奥大介,日本,birthPlace
21,肥塚一晃,大坂府,birthPlace
22,泽田博之,群马县,birthPlace
23,川上信夫,日本,birthPlace
24,村冈博人,东京,birthPlace
25,秋田丰,爱知县,birthPlace
26,山田泰宽,广岛县,birthPlace
27,穆罕默德·奥马尔,阿富汗王国,birthPlace
28,相泽仁美,东京都,birthPlace
29,胡斯·希丁克,荷兰,birthPlace
30,卷田清一,东京都,birthPlace
31,西尾维新,日本,birthPlace
32,远藤昌浩,日本,birthPlace
33,森敦彦,兵库县,birthPlace
34,森重达也,大坂府,birthPlace
35,西村昭宏,大坂府,birthPlace
36,保罗·萨巴捷,卡尔卡松,birthPlace
37,木村和司,广岛县,birthPlace
38,岛冈健太,日本,birthPlace
39,马库斯·罗森贝里,马尔默,birthPlace
40,爱理和美理,日本,birthPlace
41,法鲁克锡亚,奥郎加巴德,birthPlace
42,松田和也,大坂府,birthPlace
43,陈俞霖,台湾,birthPlace
44,巴尔达萨雷·佩鲁齐,锡耶纳,birthPlace
45,郭俊谊,新加坡,birthPlace
46,井本乔士,日本,birthPlace
47,埃米里亚诺·莫雷蒂,罗马,birthPlace
48,中岛法兰,东京,birthPlace
49,施巴斯坦·拿臣,埃斯基尔斯蒂纳,birthPlace
50,申思,上海,birthPlace
51,徐德帅,中国,birthPlace
52,卡迪苏克·塞纳芒,泰国,birthPlace
53,包拯,宋,birthPlace
54,洪映早,平壤,birthPlace
55,日高壮之丞,鹿儿岛县,birthPlace
56,信修浮,勃固,birthPlace
57,饭田紘孝,日本,birthPlace
58,宋旺相,新加坡,birthPlace
59,长峯宏范,日本,birthPlace
60,李孟熙,香港,birthPlace
61,植村映一,山梨县,birthPlace
62,贺川太郎,兵库县,birthPlace
63,佐真奴,巴西,birthPlace
64,隋文静,中国,birthPlace
65,长谷部诚,岛田市,birthPlace
66,林清祥,新加坡,birthPlace
67,帕斯卡·西甘,法国,birthPlace
68,大石隆夫,日本,birthPlace
69,盛鹏,中国,birthPlace
70,法兰索瓦·奥桑,法国,birthPlace
71,小村德男,日本,birthPlace
72,娜塔莎·阿帕娜,毛里求斯,birthPlace
73,柱谷哲二,京都府,birthPlace
74,陈重名,雪兰莪,birthPlace
75,黎念之,上海,birthPlace
76,具志坚用高,石垣岛,birthPlace
77,杨程,天津,birthPlace
78,坂本武久,日本,birthPlace
79,约瑟夫·雷芒德·麦卡锡,威斯康辛州,birthPlace
80,田泽浩之,日本,birthPlace
81,林金榜,台湾,birthPlace
82,高木和道,野洲市,birthPlace
83,橡尾健次,日本,birthPlace
84,桑田隆幸,広岛县,birthPlace
85,坂下博之,日本,birthPlace
86,瓦莱里奥·菲奥里,罗马,birthPlace
87,马里纳图,卡塔瓜西斯,birthPlace
88,西谷隆之,静冈县,birthPlace
89,丰干,唐朝,birthPlace
90,李·查德,考文垂,birthPlace
91,平井将生,日本,birthPlace
92,洛里克·卡纳,普里什蒂纳,birthPlace
93,周宝,唐朝,birthPlace
94,美浓部直彦,日本,birthPlace
95,柏万青,上海市,birthPlace
96,吴毅臻,中国,birthPlace
97,埃德加·富尔,贝济耶,birthPlace
98,西恩·玛茜,考文垂,birthPlace
99,姚仁喜,台北,birthPlace
100,加藤信幸,日本,birthPlace
101,万程,天津,birthPlace
102,施度·基达,马里,birthPlace
103,佐藤长荣,山形县,birthPlace
104,纽奴·华伦迪,里斯本,birthPlace
105,宗磊,天津,birthPlace
106,稻本润一,日本,birthPlace
107,白井淳,熊本县,birthPlace
108,基蓝马,喀麦隆,birthPlace
109,闵鹿蕾,北京,birthPlace
110,里卡多·阿尔瓦雷斯,阿根廷,birthPlace
111,蒂姆·维泽,西德,birthPlace
112,玛丽·盖茨基尔,美国,birthPlace
113,滨口华菜里,日本,birthPlace
114,徐文,上海,birthPlace
115,梁岩峰,中国,birthPlace
116,笠原隆,日本,birthPlace
117,鸟羽俊正,日本,birthPlace
118,何可纲,明朝,birthPlace
119,郑武,浙江省,birthPlace
120,斯蒂芬·泰勒,伦敦,birthPlace
121,约翰·查尔斯,斯旺西,birthPlace
122,桑田隆幸,日本,birthPlace
123,井本乔士,佐贺县,birthPlace
124,夏海公司,兵库县,birthPlace
125,迪亚高·科兰,蒙得维的亚,birthPlace
126,史蒂文·皮纳尔,南非,birthPlace
127,谢路美·马菲奥,法国,birthPlace
128,田中雍和,日本,birthPlace
129,中村一义,日本,birthPlace
130,约翰·霍华德·诺思罗普,美国,birthPlace
131,黄培闳,台湾,birthPlace
132,仇云波,香港,birthPlace
133,吴庆龙,大连市,birthPlace
134,太田裕和,京都府,birthPlace
135,克丽·沃尔什,美国,birthPlace
136,二川孝广,日本,birthPlace
137,长谷川祥之,京都府,birthPlace
138,卢炳俊,蔚山广域市,birthPlace
139,鸟山求,日本,birthPlace
140,胜矢寿延,长崎县,birthPlace
141,槙野智章,日本,birthPlace
142,亚历山大六世,克萨蒂瓦,birthPlace
143,第十二世达赖喇嘛,卫藏,birthPlace
144,濑川诚,宫城县,birthPlace
145,琴娜·杜普洛,旧金山,birthPlace
146,汤马士·古斯锡,波兰,birthPlace
147,米高·查洛,巴比提,birthPlace
148,佐野达,日本,birthPlace
149,埃德温·恩卡纳西翁,罗马纳,birthPlace
150,高珏明,上海,birthPlace
151,马高·柏达连奴,瑞士,birthPlace
152,迪恩·桑德斯,斯旺西,birthPlace
153,马修·古德,英国,birthPlace
154,王哲林,福州市,birthPlace
155,朱亿宗,台湾,birthPlace
156,大卫·桑马,约翰内斯堡,birthPlace
157,詹哲渊,台湾,birthPlace
158,迪美迪斯·沙宾基迪斯,希腊,birthPlace
159,郭泰麟,台南市,birthPlace
160,埃布尔·穆佐雷瓦,南罗得西亚,birthPlace
161,金龙甲,韩国,birthPlace
162,卡雷卡,巴西,birthPlace
163,种田孝一,日本,birthPlace
164,齐木和人,山梨县,birthPlace
165,小岛宏美,日本,birthPlace
166,卢卡斯·史华连奴,巴西,birthPlace
167,佩佩·梅尔,马德里,birthPlace
168,琳恩·柯林斯,德克萨斯州,birthPlace
169,蔡慧康,中华人民共和国,birthPlace
170,潘威志,台湾,birthPlace
171,昆瑙·纳亚尔,英国,birthPlace
172,陈浩玮,花莲县,birthPlace
173,梁振英,香港,birthPlace
174,轩斯·巴美达,瑞士,birthPlace
175,李运秋,上海,birthPlace
176,杰尔姆·卡尔,纽约市,birthPlace
177,傅聪,上海,birthPlace
178,名塚善宽,日本,birthPlace
