train_x,train_y
"奥斯卡克莱因于1925年回到哥本哈根，与保罗埃伦费斯特在莱顿研究，然后在1926年于隆德大学研究。
",5
"槃罗茶全被黎圣宗押往升龙，途中病死，黎圣宗命令斩其首级号令于船头，其尸身则按占婆丧礼，焚毁投弃于江中。
",0
"2012年20122013年13年度球季，淦源加入复办的香港丁组足球联赛，并邀请到陈耀麟、赖嘉辉、李培、梁金辉等前甲组球员加盟，争取升班。
",0
"崔英一，出生于韩国庆尚南道，曾经是韩国足球运动员，现为足球教练，目前执教韩国大学球队东亚大学。
",0
"用田纪云自己的话来说，李英华是他风吹浪打不动摇，天涯海角不分离的妻子。
",1
"1古斯塔夫五世古斯塔夫王储，2古斯塔夫六世阿道夫古斯塔夫阿道夫王子，3 古斯塔夫阿道夫亲王古斯塔夫阿道夫王子，4 威尔海姆王子，5 埃里克王子，6 卡尔王子，7 欧根王子。
",2
"这个茶壶的模型是在1975年由早期的计算机图形学研究者马丁纽维尔制作的，他是犹他大学先锋图形项目小组的一员。
",5
"根据藏文史料贤者喜宴的说法，赤德松赞死后，由于长子藏玛早已出家为僧，朗达玛又本性顽固，遂由三子赤祖德赞继位。
",3
"原正文，日本足球运动员，前日本国家足球队成员。
",0
"另一方面，雅典大部分群体起初以埃斯基涅斯为首，认为和平需要继续维持和发展，但这一派观点却逐渐式微。
",0
"内田一二四，日本足球运动员，前日本国家足球队成员。
",0
"该歌曲作者是龚琳娜的丈夫老锣，灵感来源自中国古代神话传说白蛇传许仙和白素贞的爱情故事，由于农历2013年是蛇年，故而写作了这首歌。
",1
"阿鲁浑和他最心爱的妻子忽勒塔黑哈敦生下了长子合赞，他和妻子兀鲁克哈敦生下了第三子完者都，合赞和完者都二者后来都成为伊儿汗国的国君。
",2
"于1999年，基谢廖夫在结果中狠批俄罗斯总统鲍里斯叶利钦的政府。
",6
"王方庆，名綝，字方庆，以字行，封石泉公，谥贞，唐朝、武周官员，武则天年间为宰相。
",6
"杰米钟另译杰米张、钟洁咪，是一位美国韩裔女演员，出演真人实境秀、电视剧和电影。
",0
"流亡者爱德华，又称显贵者爱德华，是刚勇王埃德蒙二世与艾尔基丝之子。
",2
"泰勒于卡尔斯鲁厄大学化学工程系毕业，并在维尔纳海森堡沃纳海森堡的指导下从莱比锡大学莱比锡大学取得物理学物理学博士学位。
",5
"在2007年3月，迪亚拉在法国与立陶宛国家足球队立陶宛的2008年欧洲足球锦标赛外围赛2008年欧洲国家杯外围赛中与克洛德马克莱莱马基利尼一同正选上阵，完成了成年国家队的首战。
",0
"1940年布赖恩德帕尔马，美国电影导演、编剧。
",0
"基思理查兹，英国音乐家、歌手、词曲创作人，以及英国摇滚乐队滚石乐队的创始成员之一。
",0
"另外，班固在汉书古今人表中同时把上甲微、其祖父子冥冥和伯父王亥列在中上这种人品，但这也表示他比智人的人品还要不如。
",2
"祖素的足球事业始于巴西国内球队戈亚斯体育会戈亚斯，2005年转会至圣保罗足球俱乐部圣保罗，期间为圣保罗赢得巴甲冠军、南美自由杯和世界冠军球会杯。
",0
"2007年第三个人 合作演员徐峥、陶虹、高圆圆。
",1
"颜圣冠，中华民国政治人物，台北市议会议员，台湾嘉义县人，在台北市成长，父为民主进步党前立法委员颜锦福。
",2
"大多数的神都具有特殊的代表含意，比如阿芙萝黛蒂是爱与美的女神，阿瑞斯是战神，黑帝斯是冥界之神，而雅典娜则是智慧和勇气的女神。
",4
"河田晃兵是一位日本足球运动员，位置守门员。
",0
"子女有阿部正秋、阿部正乘、阿部正直、阿部正敏、女儿。
",4
"获得诺贝尔奖后，日内瓦大学向皮埃尔提供一个职位，为留住皮埃尔，巴黎大学给他教授职位和物理系主任的职务，但是拒绝解决居里夫妇的实验室问题 。
",5
"在394年摧毁西燕的战事中，慕容农也发挥了重要作用，使后燕控制了山西。
",6
"1977年马尔钦巴什琴斯基波兰足球员。
",0
"乐彦祯哪一位唐朝魏博节度使不得人心，最后被迫出家为僧却仍不免被枭首示众。
",0
"长谷川祥之，日本足球运动员，前日本国家足球队成员。
",0
"丁东浩，韩国足球运动员，现效力于日本职业足球联赛球队横滨水手。
",0
"到美国后，白云总共产下了六个子女，分别为华美、美生、苏琳、珍珍珍珍、云子 云子与小礼物 小礼物，其中华美的父亲是大猫熊石石，而其余四个子女的父亲都是大猫熊高高。
",3
"生宋神宗赵顼、吴荣王赵颢、润王赵颜、益端献王赵頵、宝安公主魏国大长公主、韩国魏国大长公主。
",4
"毛福梅，籍贯浙江省奉化县，蒋中正原配夫人，蒋经国之母。
",3
"永井谦佑，日本足球运动员，现由比利时足球甲级联赛球队标准列日足球俱乐部标准列日租借到名古屋鲸鱼。
",0
"2005年1月，索菲亚中央陆军与科迪夫签署了一份为期四年价值100000欧元的合同。
",0
"1425年是教会禧年，在第四代布拉班特公爵约翰的提议下，罗马教皇马丁五世于12月9日诏令建立天主教鲁汶大学。
",3
"迪恩艾化李察士是一名英格兰已故足球运动员，场上司职后卫 后卫。
",6
"子    松平赖该赖该、松平赖胤赖胤、松平赖显赖显、本多忠民、伦、粲、娘养子松平赖恕赖恕。
",4
"黄芷晴，香港电视演员，为着名香港电视演员黄日华与前无线电视艺员梁洁华 梁洁华的女儿。
",2
"这次选举中，李光耀本人顺利当选新加坡立法议会立法议会议员，开始与新加坡方面马来亚共产党负责人林清祥等人合作，为新加坡争取自治地位。
",0
"诸葛亮与弟诸葛均及姊姊由叔父诸葛玄收养，其兄诸葛瑾同继母赴江东。
",4
"9月29日德川齐昭，常陆国水户藩的第九代藩主，德川庆喜生父。
",3
"1994年职业联赛伊始，黄翌毫无悬念的入选上海申花，被寄予厚望，但是他却无法通过中国足协的中国足协体能测试体能测试，最终一年无法上场。
",0
"洪天明、黎耀祥、上野未来、洪金宝。
",2
"白川英树为2000年诺贝尔化学奖得主，获奖时为筑波大学名誉教授，也是21世纪首位日本人诺贝尔奖得主。
",5
"庶四子 朝鲜英祖英祖大王  昑 禧寿 1694年1776年淑嫔崔氏贞圣王后达城徐氏贞纯王后庆州金氏 ①朝鲜第21代君主。
",1
"8月27日，在联赛第21轮上海东亚客场2比2战平广东日之泉的比赛第78分钟替补孙凯出场，上演职业联赛首秀。
",0
"此后他于1945年考取公费留学赴美国美，就读于芝加哥大学，1948年取得博士学位，论文导师是爱德华泰勒。
",5
"高美斯了他首次替巴西上阵是在2003年美洲金杯。
",0
"2010年05月28日姜文杰、姜丽文、秦沛秦沛梁奕伦。
",2
"居里奥纳塔，意大利化学家，在聚合反应的催化剂研究上作出很大贡献，因此与德国化学家卡尔齐格勒共同获得1963年诺贝尔化学奖。
",5
"各队除缘此条款引进中国大陆及香港等地出身的好手，如张学雷、陈政皓、翁金骅等人以外，还有若干位所谓溷血的华裔选手曾出现在中华职篮的赛场上。
",0
"子  施士安士安、士燝、士晟、施士龄士龄、施士膺士膺、士谅、士齐、士姜、士范。
",4
"距离艾哈迈德讷格尔83公里，是印度教圣人舍地赛巴巴赛巴巴的故乡。
",0
"周美青，生于英属香港香港，籍贯南京市，中华民国第一夫人、现任总统马英九的妻子，夫妇育有马唯中、马元中二女。
",2
"曾淑娥，是台湾女子足球运动员，她自2002年起代表中华台北女子足球代表队参加各项国际赛事。
",0
"席力图召的属召比大召、小召多，主要包括巧尔齐召，位于呼和浩特旧城，建于清朝康熙年间乌素图召乌素图北召，位于呼和浩特旧城西北大青山麓，建于清朝康熙年间希拉穆仁召，位于今达茂旗，建于清朝乾隆年间，是席力图活佛的夏宫。
",3
"小西行正之子是商人小西隆佐，其有子小西如清、小西行长、小西行景、小西主殿介。
",3
"新马师曾先后娶过四位妻子，首任妻子梅丽芳，因性格不合离异第二任妻子梁添添，因肺病早逝第三任妻子赛珍珠，生有三子，因性格不合离异第四任妻子洪金梅1965年开始同居，诞下四子女，并在1992年正式结婚，金马红梅庆同心婚礼并在无线电视翡翠台播出。
",1
"马磊磊，中国足球运动员，生于天津，目前效力于青岛中能足球俱乐部。
",0
"井上健，日本足球运动员，前日本国家足球队成员。
",0
"大姐宋霭龄嫁孔祥熙，故与太古孔家、孔子世家有亲缘关系，蒋可称孔为姐夫。
",1
"2011年12月2日，长谷川千代乃去世后，木村成为日本在世最年长者。
",0
"史蒂芬恩佐济是一名刚果裔法国足球运动员，司职防守中场，曾五次代表法国21岁以下国家足球队出赛，现效力英超球队布莱克本流浪者足球俱乐部布莱克本流浪者。
",0
"路易斯轩历基杜斯达，，巴西职业足球运动员，现效力广东日之泉。
",0
"韩学庚，出生于辽宁省大连市金州区，足球运动员。
",0
